Cultivo,Temp. Opt. Mín. (°C),Temp. Opt. Máx. (°C),Temp. Recomendada (°C)_valor_mínimo,Temp. Recomendada (°C)_valor_máximo,Lluvia Óptima (mm)_valor_mínimo,Lluvia Óptima (mm)_valor_máximo,Humedad Ambiental (%)_valor_mínimo,Humedad Ambiental (%)_valor_máximo,Humedad Suelo (%)_valor_mínimo,Humedad Suelo (%)_valor_máximo,Temp. Recomendada (°C)_valor_promedio,Lluvia Óptima (mm)_valor_promedio,Humedad Ambiental (%)_valor_promedio,Humedad Suelo (%)_valor_promedio
Agave,15,34,25,30,600,900,50,60,40,50,27.5,750.0,55.0,45.0
Aguacate,10,28,17,24,800,1000,70,80,60,70,20.5,900.0,75.0,65.0
Ajo,8,20,12,16,300,400,60,70,60,70,14.0,350.0,65.0,65.0
Ajonjolí,18,30,22,25,500,600,60,70,60,70,23.5,550.0,65.0,65.0
Alfalfa,5,25,12,18,300,500,50,65,60,75,15.0,400.0,57.5,67.5
Amaranto,13,30,18,22,400,600,60,70,60,70,20.0,500.0,65.0,65.0
Arroz palay,14,28,18,24,800,1000,80,90,85,100,21.0,900.0,85.0,92.5
Avena forrajera en verde,4,22,10,15,300,400,55,70,60,75,12.5,350.0,62.5,67.5
Avena grano,4,22,10,15,300,400,55,70,60,75,12.5,350.0,62.5,67.5
Berenjena,18,30,22,26,400,600,60,70,60,70,24.0,500.0,65.0,65.0
Brócoli,10,25,15,20,400,600,65,75,65,75,17.5,500.0,70.0,70.0
Cacao,18,28,22,25,1200,1500,75,80,70,80,23.5,1350.0,77.5,75.0
Café cereza,15,25,18,22,400,600,70,75,60,70,20.0,500.0,72.5,65.0
Calabacita,16,30,20,25,400,600,60,70,60,70,22.5,500.0,65.0,65.0
Caña de azúcar,18,32,22,28,600,800,70,80,70,80,25.0,700.0,75.0,75.0
Cebada grano,4,22,10,15,250,400,55,70,60,75,12.5,325.0,62.5,67.5
Cebolla,8,25,12,18,250,400,60,70,60,75,15.0,325.0,65.0,67.5
Chile verde,18,32,22,28,500,700,65,75,60,75,25.0,600.0,70.0,67.5
Copra,20,32,25,28,1000,1500,75,85,70,80,26.5,1250.0,80.0,75.0
Crisantemo,10,25,15,20,300,400,60,70,60,70,17.5,350.0,65.0,65.0
Cártamo,8,25,12,18,250,400,50,60,55,65,15.0,325.0,55.0,60.0
Durazno,5,25,12,18,500,700,60,70,60,75,15.0,600.0,65.0,67.5
Elote,12,30,18,24,500,700,60,70,60,75,21.0,600.0,65.0,67.5
Espárrago,10,25,15,20,400,600,60,70,60,75,17.5,500.0,65.0,67.5
Frambuesa,5,24,12,18,500,700,65,75,65,80,15.0,600.0,70.0,72.5
Fresa,5,24,12,18,500,700,65,75,65,80,15.0,600.0,70.0,72.5
Frijol,14,30,18,24,400,600,60,70,60,70,21.0,500.0,65.0,65.0
Garbanzo grano,8,26,14,20,300,450,55,65,55,70,17.0,375.0,60.0,62.5
Gladiola,10,25,15,20,300,400,60,70,60,70,17.5,350.0,65.0,65.0
Guayaba,12,30,18,24,600,900,70,80,65,75,21.0,750.0,75.0,70.0
Lechuga,5,24,12,18,300,400,65,75,65,75,15.0,350.0,70.0,70.0
Limón,12,30,18,24,700,1000,70,80,65,75,21.0,850.0,75.0,70.0
Maguey pulquero,15,32,22,26,500,700,50,60,45,55,24.0,600.0,55.0,50.0
Mango,15,32,22,26,700,1000,70,80,65,75,24.0,850.0,75.0,70.0
Manzana,5,25,12,18,600,800,60,70,60,75,15.0,700.0,65.0,67.5
Maíz forrajero en verde,10,28,16,22,400,600,60,70,60,75,19.0,500.0,65.0,67.5
Maíz grano,10,32,18,24,500,700,60,70,60,75,21.0,600.0,65.0,67.5
Melón,14,32,20,26,300,500,55,65,55,70,23.0,400.0,60.0,62.5
Naranja,12,30,18,24,700,1000,70,80,65,75,21.0,850.0,75.0,70.0
Nopalitos,15,32,22,28,300,500,40,55,40,55,25.0,400.0,47.5,47.5
Nuez,8,26,14,20,700,1000,60,70,60,75,17.0,850.0,65.0,67.5
Papa,8,25,14,20,400,600,60,70,60,75,17.0,500.0,65.0,67.5
Papaya,18,32,24,28,1000,1500,75,85,70,80,26.0,1250.0,80.0,75.0
Pepino,16,32,22,28,400,600,60,70,60,75,25.0,500.0,65.0,67.5
Pera,5,25,12,18,600,800,60,70,60,75,15.0,700.0,65.0,67.5
Piña,18,32,24,28,1000,1500,75,85,70,80,26.0,1250.0,80.0,75.0
Plátano,18,32,24,28,1200,1500,75,85,70,80,26.0,1350.0,80.0,75.0
Rosa,10,25,15,20,300,400,60,70,60,70,17.5,350.0,65.0,65.0
Sandía,14,32,22,28,300,500,55,65,55,70,25.0,400.0,60.0,62.5
Sorgo forrajero en verde,12,30,18,24,300,500,55,65,55,70,21.0,400.0,60.0,62.5
Sorgo grano,12,30,18,24,300,500,55,65,55,70,21.0,400.0,60.0,62.5
Soya,10,28,16,22,400,600,60,70,60,75,19.0,500.0,65.0,67.5
Tabaco,15,32,20,26,400,600,60,70,60,75,23.0,500.0,65.0,67.5
Tomate rojo (jitomate),15,30,20,26,400,600,60,70,60,70,23.0,500.0,65.0,65.0
Tomate verde,15,28,20,25,400,600,60,70,60,70,22.5,500.0,65.0,65.0
Toronja (pomelo),12,30,18,24,700,1000,70,80,65,75,21.0,850.0,75.0,70.0
Trigo grano,5,25,12,18,250,400,55,70,60,75,15.0,325.0,62.5,67.5
Tuna,15,32,22,28,300,500,40,55,40,55,25.0,400.0,47.5,47.5
Uva,8,26,14,20,600,900,60,70,60,75,17.0,750.0,65.0,67.5
Zanahoria,8,26,14,20,350,500,60,70,60,75,17.0,425.0,65.0,67.5
Zarzamora,5,24,12,18,500,700,65,75,65,80,15.0,600.0,70.0,72.5
